DATE,SMU29281409093000001SA
1990-01-01,72.2123667963192
1990-02-01,72.8045086443374
1990-03-01,72.2556785142621
1990-04-01,72.1310258892583
1990-05-01,72.3047091962524
1990-06-01,72.4539463758099
1990-07-01,71.83683620755771
1990-08-01,73.597179043816
1990-09-01,73.9454376463302
1990-10-01,74.1331182103799
1990-11-01,74.93113524310371
1990-12-01,74.56360669593941
1991-01-01,74.28407313792209
1991-02-01,75.24788980291851
1991-03-01,74.97504330510891
1991-04-01,75.6701172234558
1991-05-01,75.1138867729016
1991-06-01,73.6201202736706
1991-07-01,74.1390524775948
1991-08-01,74.5259268891657
1991-09-01,74.62993117631692
1991-10-01,74.8225633125212
1991-11-01,75.90404154200759
1991-12-01,75.1684832894317
1992-01-01,75.8627599944527
1992-02-01,75.3133339474565
1992-03-01,75.50720473477
1992-04-01,77.09543702000391
1992-05-01,75.75391321542679
1992-06-01,75.548584158104
1992-07-01,76.17691332164951
1992-08-01,75.9900899061601
1992-09-01,76.42026400198431
1992-10-01,76.7518225259908
1992-11-01,76.9047056854911
1992-12-01,77.0845197706749
1993-01-01,76.85569737494491
1993-02-01,77.25138088843009
1993-03-01,77.5925165529047
1993-04-01,77.6878588701145
1993-05-01,77.68823095217499
1993-06-01,77.9070487363977
1993-07-01,77.9661771172698
1993-08-01,78.5277224676594
1993-09-01,78.36558971572941
1993-10-01,78.2785451432397
1993-11-01,78.0387471702711
1993-12-01,78.2342125006381
1994-01-01,78.6988823208681
1994-02-01,78.6435619878516
1994-03-01,78.736414912634
1994-04-01,78.33306813791441
1994-05-01,79.4230796636396
1994-06-01,80.268214511865
1994-07-01,80.9541075600724
1994-08-01,80.2545984143825
1994-09-01,79.2575686062922
1994-10-01,80.78600251085619
1994-11-01,80.8311058145652
1994-12-01,81.5090621232174
1995-01-01,81.8652133733307
1995-02-01,82.3057687246978
1995-03-01,82.6236509452479
1995-04-01,82.7728268090671
1995-05-01,83.10053761074329
1995-06-01,83.2449845357754
1995-07-01,83.1485999536987
1995-08-01,83.1636648264004
1995-09-01,83.1992416626963
1995-10-01,83.5459607918129
1995-11-01,83.8376678248741
1995-12-01,83.82347303944
1996-01-01,83.5640901417853
1996-02-01,83.4176528166475
1996-03-01,83.80194755857279
1996-04-01,82.44458185108371
1996-05-01,82.97135423469359
1996-06-01,80.86670390306091
1996-07-01,83.721009308526
1996-08-01,83.06779468680341
1996-09-01,82.84086113727079
1996-10-01,83.0009290042752
1996-11-01,83.3002051450047
1996-12-01,83.0710774231346
1997-01-01,83.3829152810833
1997-02-01,83.54690660748291
1997-03-01,83.82434598769301
1997-04-01,83.704787557363
1997-05-01,84.2854976403067
1997-06-01,84.3974174904043
1997-07-01,84.9328532892497
1997-08-01,84.9000196533708
1997-09-01,85.50185910284199
1997-10-01,85.3691613839972
1997-11-01,85.6115824134144
1997-12-01,85.98157347554242
1998-01-01,86.420342840442
1998-02-01,86.6467264188995
1998-03-01,86.29278043501971
1998-04-01,87.0519812402265
1998-05-01,87.25766309944581
1998-06-01,87.63462719296749
1998-07-01,87.1958520595702
1998-08-01,87.5585274590111
1998-09-01,87.24575791471821
1998-10-01,87.081571808792
1998-11-01,87.00064065062408
1998-12-01,87.42361645715359
1999-01-01,87.5240451123104
1999-02-01,87.7234212788575
1999-03-01,88.1865492488496
1999-04-01,88.6177502545144
1999-05-01,88.7521123712183
1999-06-01,88.5024161022023
1999-07-01,87.8262311513315
1999-08-01,89.71779819762449
1999-09-01,90.3516192504579
1999-10-01,90.78264151751591
1999-11-01,90.8265497264307
1999-12-01,90.87525199959231
2000-01-01,90.40665458211491
2000-02-01,90.90615420677479
2000-03-01,90.81749943301979
2000-04-01,90.9874346796402
2000-05-01,91.0008377237282
2000-06-01,91.7687572605088
2000-07-01,88.9680873273067
2000-08-01,91.6090987656725
2000-09-01,92.4175935911982
2000-10-01,92.22788381953511
2000-11-01,92.785441083634
2000-12-01,92.704652229771
2001-01-01,94.3794900945953
2001-02-01,94.92376248869199
2001-03-01,95.0816168539434
2001-04-01,94.6662107463175
2001-05-01,94.7554942509422
2001-06-01,94.5832345252762
2001-07-01,91.0085338996356
2001-08-01,93.91888105997542
2001-09-01,94.3554285005496
2001-10-01,95.13628727803258
2001-11-01,95.17732177898719
2001-12-01,95.66442209292391
2002-01-01,96.2238254448484
2002-02-01,95.4711153693236
2002-03-01,95.6511877806625
2002-04-01,95.8444844710871
2002-05-01,95.9725189861234
2002-06-01,95.64776148697192
2002-07-01,90.7367016374036
2002-08-01,93.2976388744544
2002-09-01,94.8981247541396
2002-10-01,95.4692033433157
2002-11-01,95.7601139227957
2002-12-01,96.12675626816521
2003-01-01,96.45464802496001
2003-02-01,96.95112351797171
2003-03-01,97.40927803019649
2003-04-01,97.311663179923
2003-05-01,97.707807622152
2003-06-01,97.81872175246559
2003-07-01,98.2098398286596
2003-08-01,97.9203737145883
2003-09-01,98.12837033190479
2003-10-01,97.7089179114768
2003-11-01,97.7314695083488
2003-12-01,97.41816732231821
2004-01-01,97.0527296784705
2004-02-01,97.07205672325192
2004-03-01,97.01458565827309
2004-04-01,97.6319821466234
2004-05-01,97.9846419771649
2004-06-01,98.56124914376579
2004-07-01,103.266562522535
2004-08-01,100.596477937922
2004-09-01,99.3141341447321
2004-10-01,99.1417528646593
2004-11-01,99.15260127291359
2004-12-01,99.33469391345741
2005-01-01,99.15509865568659
2005-02-01,99.22579532512479
2005-03-01,99.7626351468257
2005-04-01,100.183736943124
2005-05-01,99.00854850857559
2005-06-01,98.6798855743029
